Time	Open	High	Low	Close	Volume	Spread
2010-01-01 00:00:00	0.89725	0.89745	0.89713	0.89722	72639	21
2010-01-03 00:00:00	0.89823	0.8997	0.89713	0.89713	1310	24
2010-01-04 00:00:00	0.89716	0.91366	0.89379	0.91239	45232	17
2010-01-05 00:00:00	0.91246	0.91737	0.90916	0.9115	52303	17
2010-01-06 00:00:00	0.91156	0.92166	0.90974	0.91992	51921	18
2010-01-07 00:00:00	0.91995	0.92661	0.91587	0.9176	44620	19
2010-01-08 00:00:00	0.91761	0.92536	0.91226	0.92371	53130	16
2010-01-10 00:00:00	0.92871	0.93079	0.92738	0.93032	2068	58
2010-01-11 00:00:00	0.93037	0.93247	0.92836	0.92938	33867	25
2010-01-12 00:00:00	0.92941	0.93056	0.91701	0.92029	58191	18
2010-01-13 00:00:00	0.92031	0.92671	0.91886	0.92377	57310	17
2010-01-14 00:00:00	0.92376	0.93296	0.92082	0.93108	39132	19
2010-01-15 00:00:00	0.93104	0.93131	0.92146	0.92356	49977	18
2010-01-17 00:00:00	0.92056	0.92234	0.92037	0.922	1083	62
2010-01-18 00:00:00	0.92206	0.92789	0.91741	0.92706	26503	17
2010-01-19 00:00:00	0.92711	0.92736	0.91749	0.92255	52446	17
2010-01-20 00:00:00	0.92261	0.92386	0.90718	0.91123	64604	18
2010-01-21 00:00:00	0.91126	0.91456	0.89916	0.90399	58627	17
2010-01-22 00:00:00	0.90394	0.90926	0.89819	0.90514	55190	17
2010-01-24 00:00:00	0.90311	0.90566	0.90119	0.90401	1849	58
2010-01-25 00:00:00	0.90406	0.90926	0.90196	0.90467	48643	18
2010-01-26 00:00:00	0.90464	0.90836	0.89372	0.89982	70344	17
2010-01-27 00:00:00	0.89986	0.90451	0.89094	0.89565	83412	17
2010-01-28 00:00:00	0.89566	0.90476	0.89137	0.89358	70111	16
2010-01-29 00:00:00	0.89356	0.89619	0.88407	0.88414	81462	16
2010-01-31 00:00:00	0.88004	0.88716	0.87979	0.88602	2376	39
2010-02-01 00:00:00	0.88596	0.89236	0.87877	0.8915	64421	18
2010-02-02 00:00:00	0.89149	0.89263	0.878	0.88725	74516	16
2010-02-03 00:00:00	0.88722	0.89156	0.88046	0.88199	68295	17
2010-02-04 00:00:00	0.88194	0.88256	0.86066	0.8685	70312	14
2010-02-05 00:00:00	0.86848	0.87176	0.85776	0.86692	92119	18
2010-02-07 00:00:00	0.86721	0.86837	0.86507	0.86559	1780	-3
2010-02-08 00:00:00	0.86571	0.87086	0.86121	0.86317	65944	15
2010-02-09 00:00:00	0.86324	0.87968	0.86314	0.87728	75433	21
2010-02-10 00:00:00	0.87731	0.87921	0.87086	0.87686	79476	17
2010-02-11 00:00:00	0.87691	0.89204	0.87651	0.89006	71582	14
2010-02-12 00:00:00	0.89001	0.89139	0.87851	0.88726	75458	18
2010-02-14 00:00:00	0.88825	0.88825	0.88626	0.88789	704	70
2010-02-15 00:00:00	0.88796	0.89094	0.88484	0.88846	29976	17
2010-02-16 00:00:00	0.88841	0.90266	0.88761	0.90099	62272	22
2010-02-17 00:00:00	0.90101	0.90356	0.89636	0.89875	65726	16
2010-02-18 00:00:00	0.8987	0.90256	0.88874	0.88984	61811	19
2010-02-19 00:00:00	0.88979	0.89886	0.88776	0.89831	65451	21
2010-02-21 00:00:00	0.90031	0.90121	0.89858	0.90068	2219	193
2010-02-22 00:00:00	0.90071	0.90236	0.89726	0.90038	48524	17
2010-02-23 00:00:00	0.90043	0.90705	0.88777	0.89254	65065	19
2010-02-24 00:00:00	0.89261	0.89499	0.88576	0.89425	46573	11
2010-02-25 00:00:00	0.89431	0.89513	0.88003	0.88672	73628	18
2010-02-26 00:00:00	0.88669	0.89787	0.88663	0.89606	74193	16
2010-02-28 00:00:00	0.89571	0.89906	0.89566	0.89864	2330	78
2010-03-01 00:00:00	0.89877	0.90156	0.89347	0.89984	69588	14
2010-03-02 00:00:00	0.89985	0.90586	0.89525	0.90455	76753	18
2010-03-03 00:00:00	0.90454	0.90851	0.90071	0.90496	69300	19
2010-03-04 00:00:00	0.90501	0.90531	0.89782	0.89946	56880	16
2010-03-05 00:00:00	0.89944	0.90924	0.89916	0.90799	45046	20
2010-03-07 00:00:00	0.90809	0.91044	0.90753	0.90944	1873	5
2010-03-08 00:00:00	0.90946	0.91326	0.90736	0.90839	46385	16
2010-03-09 00:00:00	0.90841	0.91626	0.90548	0.91528	58287	16
2010-03-10 00:00:00	0.91531	0.91926	0.91257	0.91372	58125	16
2010-03-11 00:00:00	0.9137	0.91696	0.91097	0.91549	51937	19
2010-03-12 00:00:00	0.91551	0.91938	0.91398	0.91546	50530	17
2010-03-14 00:00:00	0.91732	0.91776	0.91642	0.91764	1199	29
2010-03-15 00:00:00	0.91766	0.91776	0.90946	0.91332	48991	16
2010-03-16 00:00:00	0.91334	0.92065	0.91186	0.91884	40064	16
2010-03-17 00:00:00	0.91886	0.92516	0.91731	0.9231	57381	17
2010-03-18 00:00:00	0.92309	0.92331	0.91796	0.92102	43403	18
2010-03-19 00:00:00	0.92106	0.92236	0.91281	0.91631	65772	15
2010-03-21 00:00:00	0.91507	0.91552	0.91317	0.91375	1498	25
2010-03-22 00:00:00	0.9138	0.91868	0.90838	0.91854	61290	16
2010-03-23 00:00:00	0.91855	0.91977	0.91357	0.91812	49892	16
2010-03-24 00:00:00	0.9181	0.91866	0.90651	0.9115	68020	15
2010-03-25 00:00:00	0.91151	0.91403	0.9062	0.90855	56253	15
2010-03-26 00:00:00	0.90856	0.91168	0.90007	0.90371	56194	15
2010-03-28 00:00:00	0.90433	0.90526	0.90326	0.90486	1631	37
2010-03-29 00:00:00	0.90481	0.91781	0.90466	0.91678	51910	16
2010-03-30 00:00:00	0.91677	0.92147	0.91656	0.92046	45032	21
2010-03-31 00:00:00	0.92044	0.92056	0.91303	0.92054	60095	19
2010-04-01 00:00:00	0.91715	0.92163	0.91536	0.92101	50761	15
2010-04-02 00:00:00	0.92096	0.92127	0.918	0.9189	13239	18
2010-04-04 00:00:00	0.91897	0.92056	0.91862	0.9205	791	26
2010-04-05 00:00:00	0.92046	0.92209	0.91903	0.91972	20377	17
2010-04-06 00:00:00	0.91971	0.92881	0.91647	0.92676	57684	16
2010-04-07 00:00:00	0.92677	0.92971	0.92483	0.92626	50560	16
2010-04-08 00:00:00	0.92625	0.92936	0.92227	0.92906	51829	16
2010-04-09 00:00:00	0.92909	0.93421	0.92656	0.93347	45332	16
2010-04-11 00:00:00	0.93603	0.93821	0.93592	0.93617	2664	54
2010-04-12 00:00:00	0.93616	0.93668	0.92366	0.92651	46999	16
2010-04-13 00:00:00	0.9265	0.92933	0.92229	0.92844	48883	16
2010-04-14 00:00:00	0.92849	0.93611	0.92821	0.93591	53356	18
2010-04-15 00:00:00	0.93594	0.93636	0.93098	0.93356	48601	15
2010-04-16 00:00:00	0.93354	0.93369	0.92306	0.92512	59456	16
2010-04-18 00:00:00	0.92067	0.92286	0.92027	0.92218	1689	27
2010-04-19 00:00:00	0.9222	0.92647	0.9157	0.92506	56805	16
2010-04-20 00:00:00	0.92503	0.93246	0.92451	0.92989	46342	14
2010-04-21 00:00:00	0.92986	0.93381	0.92558	0.92811	58290	17
2010-04-22 00:00:00	0.92812	0.93036	0.92266	0.92441	64515	16
2010-04-23 00:00:00	0.92442	0.92696	0.91702	0.92676	60356	13
2010-04-25 00:00:00	0.92553	0.92702	0.92553	0.92628	1187	41
2010-04-26 00:00:00	0.9263	0.93115	0.92566	0.92822	47115	15
2010-04-27 00:00:00	0.92825	0.92861	0.91351	0.91671	69572	15
2010-04-28 00:00:00	0.91675	0.92664	0.9156	0.92328	100300	11
2010-04-29 00:00:00	0.92326	0.93131	0.92222	0.9297	66009	13
2010-04-30 00:00:00	0.92967	0.93239	0.92455	0.92894	64935	13
2010-05-02 00:00:00	0.92275	0.92616	0.92255	0.92557	1771	31
2010-05-03 00:00:00	0.92555	0.92746	0.92274	0.92572	44094	16
2010-05-04 00:00:00	0.92573	0.92666	0.9071	0.91091	85714	15
2010-05-05 00:00:00	0.91084	0.91179	0.90199	0.90691	106435	13
2010-05-06 00:00:00	0.9069	0.90926	0.87058	0.88849	142958	12
2010-05-07 00:00:00	0.88855	0.89375	0.88025	0.88616	152689	27
2010-05-09 00:00:00	0.89905	0.89927	0.89226	0.89526	4134	27
2010-05-10 00:00:00	0.89521	0.90779	0.89456	0.90046	101049	16
2010-05-11 00:00:00	0.9005	0.90306	0.89316	0.89545	100823	15
2010-05-12 00:00:00	0.89541	0.89798	0.88879	0.89511	95376	13
2010-05-13 00:00:00	0.89507	0.90256	0.89324	0.89557	98373	14
2010-05-14 00:00:00	0.89558	0.89731	0.88496	0.88561	102268	14
2010-05-16 00:00:00	0.88492	0.88614	0.88405	0.88471	1503	26
2010-05-17 00:00:00	0.88465	0.88536	0.86851	0.87646	131725	16
2010-05-18 00:00:00	0.87638	0.87886	0.85881	0.85901	128762	14
2010-05-19 00:00:00	0.85902	0.8613	0.83564	0.84646	147639	13
2010-05-20 00:00:00	0.84641	0.84693	0.80708	0.81622	173935	15
2010-05-21 00:00:00	0.81621	0.83652	0.81607	0.83146	124226	27
2010-05-23 00:00:00	0.83109	0.83147	0.8269	0.82706	3476	16
2010-05-24 00:00:00	0.82711	0.83577	0.81851	0.82322	119639	17
2010-05-25 00:00:00	0.82327	0.8306	0.80653	0.82622	148335	11
2010-05-26 00:00:00	0.82625	0.839	0.81877	0.82378	114755	12
2010-05-27 00:00:00	0.82375	0.85286	0.82251	0.84876	108853	14
2010-05-28 00:00:00	0.84871	0.85511	0.84282	0.84608	83010	11
2010-05-30 00:00:00	0.84567	0.84579	0.84281	0.84531	2957	25
2010-05-31 00:00:00	0.84528	0.85147	0.83816	0.84444	39460	8
2010-06-01 00:00:00	0.84441	0.84441	0.82815	0.83413	121622	13
2010-06-02 00:00:00	0.83418	0.84327	0.82752	0.84287	112178	13
2010-06-03 00:00:00	0.8428	0.85226	0.83639	0.84401	86823	11
2010-06-04 00:00:00	0.84405	0.84767	0.82126	0.8221	101663	9
2010-06-06 00:00:00	0.82237	0.82277	0.81586	0.81708	4658	16
2010-06-07 00:00:00	0.81711	0.82147	0.80816	0.81229	108365	11
2010-06-08 00:00:00	0.81234	0.82853	0.81228	0.82424	128564	10
2010-06-09 00:00:00	0.82418	0.83578	0.81939	0.83072	103347	13
2010-06-10 00:00:00	0.83069	0.85087	0.82738	0.84942	91846	13
2010-06-11 00:00:00	0.84946	0.85061	0.84252	0.85016	85487	13
2010-06-13 00:00:00	0.85173	0.85591	0.85098	0.85591	1693	8
2010-06-14 00:00:00	0.85593	0.86669	0.85428	0.85752	73218	6
2010-06-15 00:00:00	0.85757	0.86606	0.85052	0.86364	85616	10
